       user    system   iowait   softirq
2  8.640812 11.747267 1.8514320 0.9972795
4 21.958606 11.681936 4.8782887 1.1898582
3 35.323235 26.109152 0.8471949 0.3358636
1 63.223411  3.059431 0.6428173 1.4975048
5 43.315284 50.994502 2.1871047 0.6395582

       user    system   iowait   softirq
1  8.097912  1.623788 2.971047 0.5191738
3 23.493724  2.403679 2.940515 0.5485732
2 58.096970  1.129660 4.619365 0.5187925
4 42.332248 27.758437 3.024588 0.4081409
5 46.289240 50.630099 1.004239 0.5926207

      user     system   iowait   softirq
5  3.77705  1.6179783 3.636178 0.5821269
2 27.73632  1.8632391 4.385892 1.0580278
1 54.75346  0.6742643 2.190007 1.3783652
4 44.10055 25.4901443 1.368283 1.0266868
3 48.57284 47.8703613 1.062472 1.4027749

       user    system    iowait   softirq
1  3.559144  2.480868 1.6659662 0.7401529
4 27.624637  2.963257 3.8036896 1.3383416
3 54.675670  1.826579 2.7827018 1.4066329
2 43.299843 25.258160 0.6610418 0.4047910
5 47.583004 49.563750 1.1494476 1.0653455

      user    system   iowait   softirq
3 10.53330  8.337456 3.528924 1.0486529
5 20.45310  8.570044 4.046402 1.0773010
1 38.02031 27.245998 1.339219 0.5047967
2 63.06978  1.737856 1.647566 0.7695735
4 52.50168 45.986061 0.607474 0.2364280

       user    system   iowait   softirq
3  3.466466  1.450019 1.896506 0.6969519
5 27.703513  2.993395 4.097143 0.8421580
4 54.164702  2.429678 4.672202 1.0014996
2 43.671737 23.870763 1.218291 1.0254784
1 56.879965 40.429288 1.072407 0.4370744

       user    system    iowait   softirq
4  6.083182  1.174667 2.1997669 1.4235018
2 24.998875  1.270637 4.3321041 0.2586470
5 57.293396  0.287916 2.8776711 0.3653601
3 44.913567 25.600222 0.8458159 0.4816124
1 55.051638 43.440486 0.5774768 0.6976231

