        user   system   iowait   softirq
2 56.2174795 30.411152 4.440305 0.6869258

        user   system     iowait   softirq
2  0.4046356 22.00905 6.42536286 1.9357314
3 16.0369447 36.33938 2.81860714 0.5489985
4 48.1627419 17.23030 5.97084689 1.6300256
1 53.9394723 27.66313 0.01909675 1.6993923
5 66.4997699 14.20434 3.71434540 1.1810097

       user   system   iowait   softirq
1  1.638523 10.71659 4.896226 0.3694366
4 17.110438 33.20657 2.961161 1.3999393
3 41.722241 12.61049 4.292562 1.3761145
5 68.419755 10.42039 5.234508 1.7225239
2 58.047196 29.81352 4.191903 1.7141418

        user    system   iowait   softirq
2  7.6773534 15.811363 4.622442 0.8694392
5  0.8363699 22.032240 6.566703 1.4186016
3 37.4047957 15.143372 2.943437 0.3493158
4 47.2138092 33.999252 2.195337 0.6829525
1 74.7569067  3.704191 6.004264 1.4030114

       user     system    iowait   softirq
1 12.122153 13.3504920 3.2830987 1.2221253
5 28.664306 15.4968669 2.4794809 1.9789421
2  4.066876 59.0208361 4.5671616 0.1853986
3 44.646023 41.6418785 0.2870093 0.9678859
4 83.261694  0.7173087 4.0043937 0.2645884

       user    system   iowait   softirq
1  1.434041  9.887203 6.194349 1.5840547
2 16.285102 33.185170 5.169205 1.2185616
4 40.688793 15.374730 3.290666 1.4436041
5 67.072988 14.790289 6.725967 1.0065968
3 59.374098 29.544853 3.770223 0.4104449

       user   system    iowait   softirq
1  1.512278 13.27656 6.6988918 0.1327240
4 21.276108 31.21325 1.1807556 0.3141577
5 39.233243 19.23280 3.9147308 1.4910067
3 56.149488 32.63440 0.3814719 1.3306448
2 72.528657 15.51953 4.6497102 0.5634396

        user      system   iowait   softirq
3  0.4529292  0.08378771 6.004856 1.5016348
2 43.0687343  9.07603554 2.714844 0.4465776
4 16.6733814 36.19964235 2.258745 0.7355233
1 66.7597924  7.36557335 1.123011 0.7603417
5 57.3997690 31.33759916 2.398316 1.2758878

       user   system   iowait   softirq
4  3.488413 15.38776 6.674002 1.5825726
5 41.150807 16.74937 3.381015 0.5500087
2 22.894379 36.90452 1.724170 0.7449887
3 50.233499 32.32265 3.393445 0.7521170
1 72.346773 10.35865 4.250657 0.6663454

       user   system   iowait   softirq
4  3.860577 15.65232 3.000263 0.1878866
1 19.764766 31.29257 2.476832 1.1059940
3 40.511194 15.71315 2.718802 0.7266201
5 68.659809 14.71056 3.476608 1.4780397
2 59.094824 29.66076 3.687972 0.2816959

       user    system   iowait   softirq
2  1.276718  1.922895 5.490618 0.9577851
1 16.458578 34.123229 1.233976 0.9630512
3 41.832059 10.470126 2.669159 0.4765333
5 68.111246  9.037155 1.687054 0.5111200
4 58.633348 30.589650 4.326640 0.5622712

        user    system    iowait   softirq
1  6.7451462 23.342065 4.0834643 1.2897961
3  0.4602051 32.742176 4.7370102 1.4475029
2 39.2693917 20.480900 6.9226374 1.8557262
4 47.5930641 32.705504 0.6600246 0.8993696
5 77.4747746  9.349761 3.7109699 1.0721666

